,kV,kVAr,µF,Hz,Amp,L (mm),L1 (mm),W (mm),H (mm),H2 (mm),X (mm),Stud (mm),Weight (kg),Phases,Bushing,Fuse
B25161Q0500B007,22.13,500,3.25,50,22.59,350,404,185,750,300,230,M16,73,1,1,external
B25161Q0600B007,22.13,600,3.9,50,27.11,350,404,185,900,300,230,M16,86,1,1,external
B25161Q0667B007,22.13,667,4.34,50,30.13,350,404,185,950,300,230,M16,91,1,1,external
B25161Q0100B009,24,100,0.55,50,4.17,350,404,120,300,100,230,M16,24,1,1,external
B25161Q0150B009,24,150,0.83,50,6.25,350,404,120,425,200,230,M16,32,1,1,external
B25161Q0200B009,24,200,1.11,50,8.33,350,404,120,500,200,230,M16,36,1,1,external
B25161Q0250B009,24,250,1.38,50,10.42,350,404,145,500,200,230,M16,42,1,1,external
B25161Q0300B009,24,300,1.66,50,12.5,350,404,145,600,200,230,M16,49,1,1,external
B25161Q0400B009,24,400,2.21,50,16.67,350,404,185,625,200,230,M16,62,1,1,external
B25161Q0600B009,24,600,3.32,50,25,350,404,185,900,300,230,M16,86,1,1,external
B25161P0100B007,19.92,100,0.67,60,5.02,350,404,120,275,100,230,M16,23,1,1,external
B25161P0150B007,19.92,150,1,60,7.53,350,404,120,350,100,230,M16,27,1,1,external
B25161P0200B007,19.92,200,1.34,60,10.04,350,404,120,425,200,230,M16,32,1,1,external
B25161P0300B007,19.92,300,2.01,60,15.06,350,404,145,500,200,230,M16,42,1,1,external
B25161P0400B007,19.92,400,2.68,60,20.08,350,404,145,600,200,230,M16,49,1,1,external
B25161P0600B007,19.92,600,4.01,60,30.12,350,404,185,700,300,230,M16,68,1,1,external
B25161P0100B008,20.8,100,0.61,60,4.81,350,404,120,275,100,230,M16,23,1,1,external
B25161P0150B008,20.8,150,0.92,60,7.21,350,404,120,300,100,230,M16,24,1,1,external
B25161P0200B008,20.8,200,1.23,60,9.62,350,404,120,425,200,230,M16,32,1,1,external
B25161P0400B008,20.8,400,2.45,60,19.23,350,404,145,550,200,230,M16,45,1,1,external
B25161Q0100B008,22.8,100,0.51,60,4.39,350,404,120,275,100,230,M16,23,1,1,external
B25161Q0150B008,22.8,150,0.77,60,6.58,350,404,120,350,100,230,M16,27,1,1,external
B25161Q0200B008,22.8,200,1.02,60,8.77,350,404,120,425,200,230,M16,32,1,1,external
B25161Q0300B008,22.8,300,1.53,60,13.16,350,404,145,500,200,230,M16,42,1,1,external
B25161Q0400B008,22.8,400,2.04,60,17.54,350,404,145,600,200,230,M16,49,1,1,external
B25161Q0100B005,23.8,100,0.47,60,4.2,350,404,120,275,100,230,M16,23,1,1,external
B25161Q0150B005,23.8,150,0.7,60,6.3,350,404,120,375,100,230,M16,29,1,1,external
B25161Q0200B005,23.8,200,0.94,60,8.4,350,404,120,450,200,230,M16,33,1,1,external
B25161Q0300B005,23.8,300,1.41,60,12.61,350,404,145,500,200,230,M16,42,1,1,external
B25161Q0400B005,23.8,400,1.87,60,16.81,350,404,160,600,200,230,M16,53,1,1,external
B25161Q0600B005,23.8,600,2.81,60,25.21,350,404,185,750,300,230,M16,73,1,1,external
B25161C0050C006,3.3,50,7.31,50,8.75,343,397,115,200,100,115,M12,17,3,3,external
B25161C0100C006,3.3,100,14.62,50,17.5,343,397,115,300,100,115,M12,23,3,3,external
B25161C0150C006,3.3,150,21.93,50,26.24,343,397,115,400,200,115,M12,29,3,3,external
B25161C0200C006,3.3,200,29.24,50,34.99,343,397,115,500,200,115,M16,35,3,3,external
B25161C0250C006,3.3,250,36.56,50,43.74,343,397,115,575,200,115,M16,39,3,3,external
B25161C0300C006,3.3,300,43.87,50,52.49,343,397,138,550,200,115,M16,43,3,3,external
B25161C0350C006,3.3,350,51.18,50,61.24,343,397,155,575,200,115,M16,49,3,3,external
B25161C0400C006,3.3,400,58.49,50,69.98,343,397,155,650,200,115,M16,55,3,3,external
B25161C0450C006,3.3,450,65.8,50,78.73,343,397,178,650,200,115,M16,62,3,3,external
B25161C0500C006,3.3,500,73.11,50,87.48,350,404,178,750,300,115,M16,71,3,3,external
B25161C0550C006,3.3,550,80.42,50,96.23,350,404,178,800,300,115,M16,76,3,3,external
B25161C0600C006,3.3,600,87.73,50,104.98,350,404,178,875,300,115,M16,82,3,3,external
B25161F0050C008,6.6,50,1.83,50,4.37,390,445,115,175,50,140,M12,17,3,3,external
B25161F0100C008,6.6,100,3.66,50,8.75,390,445,115,250,100,140,M12,22,3,3,external
B25161F0150C008,6.6,150,5.48,50,13.12,390,445,115,375,100,140,M12,30,3,3,external
B25161F0200C008,6.6,200,7.31,50,17.5,390,445,115,450,200,140,M12,35,3,3,external
B25161F0250C008,6.6,250,9.14,50,21.87,390,445,115,550,200,140,M12,41,3,3,external
B25161F0300C008,6.6,300,10.97,50,26.24,390,445,138,525,200,140,M12,45,3,3,external
B25161F0350C008,6.6,350,12.79,50,30.62,390,445,138,600,200,140,M16,51,3,3,external
B25161F0400C008,6.6,400,14.62,50,34.99,390,445,155,600,200,140,M16,56,3,3,external
B25161F0450C008,6.6,450,16.45,50,39.37,390,445,178,600,200,140,M16,63,3,3,external
B25161F0500C008,6.6,500,18.28,50,43.74,390,445,178,700,300,140,M16,72,3,3,external
B25161F0600C008,6.6,600,21.93,50,52.49,390,445,178,800,300,140,M16,81,3,3,external
B25161F0800C008,6.6,800,29.24,50,69.98,390,445,178,1025,300,140,M16,103,3,3,external
