Primary kV,Secondary kV,SKU,Primary Voltage,KVA,%Z,X/R,Full load loss [kW],No load loss [kW],Secondary Voltage,Feed,Config.,Bushing Qty,Winding,LBOR,Housing,Pri. BIL,Freq.,Cooling
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R7-1P-GNB-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,8320GrdY/4800 Primary - 240/120V Secondary,MT-PML-R5-1P-GNB-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,8320GrdY/4800,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R7-1P-GMF-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,24940YGrdY/14400 Primary - 240/120V Secondary,MT-PML-R5-1P-GMF-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,24940YGrdY/14400,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R7-1P-GMK-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,20780YGrdY/12000 Primary - 240/120V Secondary,MT-PML-R5-1P-GMK-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,20780YGrdY/12000,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
25 kV,23900GrdY/13800 Primary - 240/120V Secondary,MT-PML-R7-1P-GMW-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,23900GrdY/13800,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,125 Kv,60 Hz,KNAN
